"unique_id","display_week","sewershed","percentile","percentile_bin","percentile_bin_label","counties","jurisdiction","latitude","longitude","percentile_bin__colour","percentile_bin_label__colour"
"NWSS_oh_1524_Treatment plant-2024-05-04","2024-05-04","ID:1524","Insufficient Data","0","Insufficient Data","Belmont","Ohio","40.001504","-80.800596","#cccccc","#cccccc"
"NWSS_or_1731_Treatment plant-2024-05-04","2024-05-04","ID:1731","Insufficient Data","0","Insufficient Data","Josephine","Oregon","42.405384","-123.421679","#cccccc","#cccccc"
"CDC_VERILY_tn_1833_Treatment plant-2024-05-04","2024-05-04","ID:1833","Insufficient Data","0","Insufficient Data","Bradley","Tennessee","35.26594","-84.78377900000001","#cccccc","#cccccc"
"WWS_al_4_Treatment plant-2024-05-04","2024-05-04","ID:4","0.0","1","Minimal","Jefferson","Alabama","33.722680000000004","-86.648641","#1a6e6b","#82cec2"
"CDC_VERILY_fl_316_Treatment plant-2024-05-04","2024-05-04","ID:316-A","Insufficient Data","0","Insufficient Data","Martin, Palm Beach","Florida","26.641614999999998","-80.433109","#cccccc","#cccccc"
"CDC_VERILY_nm_1243_Treatment plant-2024-05-04","2024-05-04","ID:1243","Insufficient Data","0","Insufficient Data","Santa Fe","New Mexico","35.691024","-105.934743","#cccccc","#cccccc"
"WWS_tx_1909_Treatment plant-2024-05-04","2024-05-04","ID:1909","Insufficient Data","0","Insufficient Data","Montgomery","Texas","30.174093","-95.490217","#cccccc","#cccccc"
"NWSS_ca_150_Before treatment plant-2024-05-04","2024-05-04","ID:150","Insufficient Data","0","Insufficient Data","San Francisco","California","37.765659","-122.41613100000001","#cccccc","#cccccc"
"WWS_ga_346_Treatment plant-2024-05-04","2024-05-04","ID:346","Insufficient Data","0","Insufficient Data","Muscogee, Chattahoochee","Georgia","32.408229999999996","-84.938344","#cccccc","#cccccc"
"WWS_nc_1473_Treatment plant-2024-05-04","2024-05-04","ID:1473-B","Insufficient Data","0","Insufficient Data","Lenoir","North Carolina","35.217318999999996","-77.625308","#cccccc","#cccccc"
"NWSS_oh_1677_Treatment plant-2024-05-04","2024-05-04","ID:1677","Insufficient Data","0","Insufficient Data","Stark","Ohio","40.750008","-81.359674","#cccccc","#cccccc"
"NWSS_va_2004_Treatment plant-2024-05-04","2024-05-04","ID:2004","Insufficient Data","0","Insufficient Data","Russell","Virginia","36.915873","-82.043895","#cccccc","#cccccc"
"NWSS_wa_2041_Treatment plant-2024-05-04","2024-05-04","ID:2041","Insufficient Data","0","Insufficient Data","Grant","Washington","47.185125","-119.39423799999999","#cccccc","#cccccc"
"NWSS_wa_2064_Treatment plant-2024-05-04","2024-05-04","ID:2064","Insufficient Data","0","Insufficient Data","Thurston","Washington","46.982087","-122.87863899999999","#cccccc","#cccccc"
"WWS_fl_316_Treatment plant-2024-05-04","2024-05-04","ID:316-B","Insufficient Data","0","Insufficient Data","Palm Beach","Florida","26.647415","-80.42174899999999","#cccccc","#cccccc"
"NWSS_il_417_Treatment plant-2024-05-04","2024-05-04","ID:417","53.03","6","Moderate","Cook","Illinois","42.00775","-88.1326","#d0a0d6","#51b2cd"
"NWSS_va_1986_Treatment plant-2024-05-04","2024-05-04","ID:1986","Insufficient Data","0","Insufficient Data","Franklin","Virginia","36.995366999999995","-79.84336900000001","#cccccc","#cccccc"
"NWSS_wa_2039_Treatment plant-2024-05-04","2024-05-04","ID:2039","Insufficient Data","0","Insufficient Data","Clark","Washington","45.739990000000006","-122.720486","#cccccc","#cccccc"
"WWS_ca_119_Treatment plant-2024-05-04","2024-05-04","ID:119","Insufficient Data","0","Insufficient Data","Marin","California","37.975828","-122.510206","#cccccc","#cccccc"
"NWSS_ks_547_Treatment plant-2024-05-04","2024-05-04","ID:547","0.0","1","Minimal","Johnson","Kansas","38.866734","-94.63204200000001","#1a6e6b","#82cec2"
"NWSS_or_1723_Treatment plant-2024-05-04","2024-05-04","ID:1723","Insufficient Data","0","Insufficient Data","Deschutes","Oregon","44.088037","-121.229445","#cccccc","#cccccc"
"NWSS_or_1736_Treatment plant-2024-05-04","2024-05-04","ID:1736","Insufficient Data","0","Insufficient Data","Lincoln","Oregon","44.564004999999995","-124.05060700000001","#cccccc","#cccccc"
"NWSS_pa_1771_Treatment plant-2024-05-04","2024-05-04","ID:1771","0.0","1","Minimal","Centre","Pennsylvania","40.871401","-77.762919","#1a6e6b","#82cec2"
"CDC_VERILY_al_2_Treatment plant-2024-05-04","2024-05-04","ID:2","Insufficient Data","0","Insufficient Data","Colbert","Alabama","34.768736999999994","-87.69764","#cccccc","#cccccc"
"WWS_al_8_Treatment plant-2024-05-04","2024-05-04","ID:8","Insufficient Data","0","Insufficient Data","Jefferson","Alabama","33.351624","-86.94314399999999","#cccccc","#cccccc"
"NWSS_oh_1508_Treatment plant-2024-05-04","2024-05-04","ID:1508","Insufficient Data","0","Insufficient Data","Allen","Ohio","40.70691600000001","-84.053171","#cccccc","#cccccc"
"NWSS_fl_312_Treatment plant-2024-05-04","2024-05-04","ID:312-C","Insufficient Data","0","Insufficient Data","Orange","Florida","28.469912","-81.395957","#cccccc","#cccccc"
"WWS_mn_1017_Treatment plant-2024-05-04","2024-05-04","ID:1017","Insufficient Data","0","Insufficient Data","Olmsted","Minnesota","44.066005000000004","-92.520596","#cccccc","#cccccc"
"NWSS_oh_1544_Treatment plant-2024-05-04","2024-05-04","ID:1544","Insufficient Data","0","Insufficient Data","Defiance","Ohio","41.298777","-84.379773","#cccccc","#cccccc"
"NWSS_or_1722_Treatment plant-2024-05-04","2024-05-04","ID:1722","Insufficient Data","0","Insufficient Data","Coos","Oregon","43.242889","-124.152189","#cccccc","#cccccc"
"NWSS_or_1745_Treatment plant-2024-05-04","2024-05-04","ID:1745","Insufficient Data","0","Insufficient Data","Multnomah","Oregon","45.408094000000006","-122.679388","#cccccc","#cccccc"
"NWSS_wa_2063_Treatment plant-2024-05-04","2024-05-04","ID:2063","Insufficient Data","0","Insufficient Data","Spokane","Washington","47.606835000000004","-117.508337","#cccccc","#cccccc"
"WWS_co_214_Treatment plant-2024-05-04","2024-05-04","ID:214","18.37","2","Minimal","Douglas","Colorado","39.495992","-104.85129099999999","#318984","#82cec2"
"WWS_ga_326_Treatment plant-2024-05-04","2024-05-04","ID:326","Insufficient Data","0","Insufficient Data","Fulton","Georgia","34.126638","-84.47894699999999","#cccccc","#cccccc"
"WWS_fl_307_Treatment plant-2024-05-04","2024-05-04","ID:307-B","8.33","1","Minimal","Leon","Florida","30.120775","-84.41806899999999","#1a6e6b","#82cec2"
"NWSS_wa_2038_Treatment plant-2024-05-04","2024-05-04","ID:2038","Insufficient Data","0","Insufficient Data","Clark","Washington","45.743557","-122.706441","#cccccc","#cccccc"
"NWSS_co_224_Treatment plant-2024-05-04","2024-05-04","ID:224","Insufficient Data","0","Insufficient Data","El Paso","Colorado","38.831213","-104.820329","#cccccc","#cccccc"
"CDC_VERILY_ct_270_Treatment plant-2024-05-04","2024-05-04","ID:270","Insufficient Data","0","Insufficient Data","Fairfield","Connecticut","41.047466","-73.61581","#cccccc","#cccccc"
"WWS_fl_319_Treatment plant-2024-05-04","2024-05-04","ID:319","56.76","6","Moderate","Pinellas","Florida","27.790253","-82.70194099999999","#d0a0d6","#51b2cd"
"NWSS_ca_97_Treatment plant-2024-05-04","2024-05-04","ID:97-C","Insufficient Data","0","Insufficient Data","Contra Costa","California","37.993901","-122.143896","#cccccc","#cccccc"
"WWS_ks_545_Treatment plant-2024-05-04","2024-05-04","ID:545","13.33","2","Minimal","Douglas","Kansas","38.887802","-95.30713300000001","#318984","#82cec2"
"NWSS_va_2016_Treatment plant-2024-05-04","2024-05-04","ID:2016","Insufficient Data","0","Insufficient Data","Albemarle, Charlottesville City","Virginia","38.030148","-78.47765000000001","#cccccc","#cccccc"
"NWSS_wa_2065_Treatment plant-2024-05-04","2024-05-04","ID:2065","Insufficient Data","0","Insufficient Data","Walla Walla","Washington","46.137299999999996","-118.29664700000001","#cccccc","#cccccc"
"WWS_ca_97_Treatment plant-2024-05-04","2024-05-04","ID:97-B","Insufficient Data","0","Insufficient Data","Contra Costa","California","37.974661","-122.140576","#cccccc","#cccccc"
"CDC_VERILY_hi_360_Treatment plant-2024-05-04","2024-05-04","ID:360-A","Insufficient Data","0","Insufficient Data","Honolulu","Hawaii","21.368499","-157.908299","#cccccc","#cccccc"
"CDC_VERILY_la_628_Treatment plant-2024-05-04","2024-05-04","ID:628","Insufficient Data","0","Insufficient Data","Lafayette","Louisiana","30.15149","-92.031053","#cccccc","#cccccc"
"WWS_ca_145_Treatment plant-2024-05-04","2024-05-04","ID:145-B","Insufficient Data","0","Insufficient Data","San Diego","California","32.706755","-117.234764","#cccccc","#cccccc"
"WWS_ca_173_Treatment plant-2024-05-04","2024-05-04","ID:173","Insufficient Data","0","Insufficient Data","Santa Clara","California","37.198236","-121.712487","#cccccc","#cccccc"
"NWSS_co_244_Treatment plant-2024-05-04","2024-05-04","ID:244","Insufficient Data","0","Insufficient Data","Montrose","Colorado","38.450509000000004","-108.040569","#cccccc","#cccccc"
"NWSS_oh_1613_Treatment plant-2024-05-04","2024-05-04","ID:1613","0.0","1","Minimal","Lucas","Ohio","41.702098","-83.48402200000001","#1a6e6b","#82cec2"
"NWSS_oh_1640_Treatment plant-2024-05-04","2024-05-04","ID:1640","Insufficient Data","0","Insufficient Data","Montgomery","Ohio","39.723069","-84.165662","#cccccc","#cccccc"
"NWSS_nc_1486_Treatment plant-2024-05-04","2024-05-04","ID:1486","Insufficient Data","0","Insufficient Data","Durham, Orange","North Carolina","35.958653999999996","-78.93704","#cccccc","#cccccc"
"CDC_VERILY_ok_1701_Treatment plant-2024-05-04","2024-05-04","ID:1701","Insufficient Data","0","Insufficient Data","Garfield","Oklahoma","36.391401","-97.84629100000001","#cccccc","#cccccc"
"NWSS_de_289_Treatment plant-2024-05-04","2024-05-04","ID:289","Insufficient Data","0","Insufficient Data","Sussex","Delaware","38.71039","-75.10206","#cccccc","#cccccc"
"NWSS_il_426_Before treatment plant-2024-05-04","2024-05-04","ID:426","Insufficient Data","0","Insufficient Data","Cook","Illinois","41.815249","-87.69036","#cccccc","#cccccc"
"NWSS_il_499_Treatment plant-2024-05-04","2024-05-04","ID:499","0.0","1","Minimal","Winnebago","Illinois","42.325924","-89.178807","#1a6e6b","#82cec2"
"NWSS_or_1742_Treatment plant-2024-05-04","2024-05-04","ID:1742","Insufficient Data","0","Insufficient Data","Marion","Oregon","44.956581","-122.741522","#cccccc","#cccccc"
"CDC_VERILY_hi_369_Treatment plant-2024-05-04","2024-05-04","ID:369","Insufficient Data","0","Insufficient Data","Maui","Hawaii","20.848204","-156.249486","#cccccc","#cccccc"
"NWSS_il_448_Treatment plant-2024-05-04","2024-05-04","ID:448","60.0","7","Above Average","Kane","Illinois","41.827771999999996","-88.418654","#b77bb5","#288abd"
"NWSS_il_444_Treatment plant-2024-05-04","2024-05-04","ID:444","Insufficient Data","0","Insufficient Data","Greene","Illinois","39.368998","-90.392291","#cccccc","#cccccc"
"WWS_mn_1028_Treatment plant-2024-05-04","2024-05-04","ID:1028","22.5","3","Low","Sherburne, Benton, Stearns","Minnesota","45.527916","-94.326819","#46a59e","#b1e1bb"
"CDC_VERILY_nc_1491_Treatment plant-2024-05-04","2024-05-04","ID:1491","Insufficient Data","0","Insufficient Data","Rowan","North Carolina","35.688721","-80.4446","#cccccc","#cccccc"
"NWSS_oh_1590_Treatment plant-2024-05-04","2024-05-04","ID:1590","Insufficient Data","0","Insufficient Data","Hardin","Ohio","40.639019999999995","-83.624843","#cccccc","#cccccc"
"NWSS_oh_1678_Treatment plant-2024-05-04","2024-05-04","ID:1678-C","0.0","1","Minimal","Summit","Ohio","41.15636","-81.588511","#1a6e6b","#82cec2"
"NWSS_oh_1679_Treatment plant-2024-05-04","2024-05-04","ID:1679","Insufficient Data","0","Insufficient Data","Trumbull","Ohio","41.317584000000004","-80.768629","#cccccc","#cccccc"
"WWS_ca_121_Treatment plant-2024-05-04","2024-05-04","ID:121","Insufficient Data","0","Insufficient Data","Marin","California","38.039414","-122.547711","#cccccc","#cccccc"
"WWS_fl_308_Treatment plant-2024-05-04","2024-05-04","ID:308","15.38","2","Minimal","Miami-Dade","Florida","25.707017999999998","-80.17789499999999","#318984","#82cec2"
"NWSS_il_437_Treatment plant-2024-05-04","2024-05-04","ID:437","0.0","1","Minimal","Du Page","Illinois","41.88801","-87.95689300000001","#1a6e6b","#82cec2"
"NWSS_il_438_Treatment plant-2024-05-04","2024-05-04","ID:438-C","0.0","1","Minimal","Du Page","Illinois","41.864674","-88.026825","#1a6e6b","#82cec2"
"WWS_in_510_Treatment plant-2024-05-04","2024-05-04","ID:510","Insufficient Data","0","Insufficient Data","Hamilton","Indiana","39.95268","-86.114867","#cccccc","#cccccc"
"NWSS_or_1743_Treatment plant-2024-05-04","2024-05-04","ID:1743","Insufficient Data","0","Insufficient Data","Marion","Oregon","44.812067","-122.732339","#cccccc","#cccccc"
"CDC_VERILY_tx_1921_Treatment plant-2024-05-04","2024-05-04","ID:1921-A","Insufficient Data","0","Insufficient Data","Webb","Texas","27.515039","-99.50519800000001","#cccccc","#cccccc"
"NWSS_co_246_Treatment plant-2024-05-04","2024-05-04","ID:246","Insufficient Data","0","Insufficient Data","Otero","Colorado","37.956139","-103.65939700000001","#cccccc","#cccccc"
"NWSS_il_401_Treatment plant-2024-05-04","2024-05-04","ID:401","0.0","1","Minimal","Boone","Illinois","42.276421","-88.830055","#1a6e6b","#82cec2"
"NWSS_oh_1545_Treatment plant-2024-05-04","2024-05-04","ID:1545","Insufficient Data","0","Insufficient Data","Erie","Ohio","41.390809000000004","-82.732377","#cccccc","#cccccc"
"CDC_VERILY_ks_554_Treatment plant-2024-05-04","2024-05-04","ID:554","Insufficient Data","0","Insufficient Data","Shawnee","Kansas","39.059437","-95.63403699999999","#cccccc","#cccccc"
"NWSS_or_1753_Treatment plant-2024-05-04","2024-05-04","ID:1753","Insufficient Data","0","Insufficient Data","Washington","Oregon","45.457037","-122.979203","#cccccc","#cccccc"
"WWS_nj_1216_Treatment plant-2024-05-04","2024-05-04","ID:1216","15.22","2","Minimal","Monmouth","New Jersey","40.427758","-74.196327","#318984","#82cec2"
"NWSS_oh_1607_Treatment plant-2024-05-04","2024-05-04","ID:1607","0.0","1","Minimal","Lorain","Ohio","41.448831","-82.17757399999999","#1a6e6b","#82cec2"
"WWS_ca_94_Treatment plant-2024-05-04","2024-05-04","ID:94","Insufficient Data","0","Insufficient Data","Alameda","California","37.815887","-122.30986","#cccccc","#cccccc"
"NWSS_co_229_Treatment plant-2024-05-04","2024-05-04","ID:229","Insufficient Data","0","Insufficient Data","Garfield","Colorado","39.505241","-107.583995","#cccccc","#cccccc"
"WWS_ga_340_Treatment plant-2024-05-04","2024-05-04","ID:340","Insufficient Data","0","Insufficient Data","Fulton","Georgia","33.703937","-84.372005","#cccccc","#cccccc"
"WWS_il_441_Treatment plant-2024-05-04","2024-05-04","ID:441","17.39","2","Minimal","Du Page","Illinois","41.829839","-88.08743600000001","#318984","#82cec2"
"NWSS_il_452_Treatment plant-2024-05-04","2024-05-04","ID:452","0.0","1","Minimal","Knox","Illinois","40.968933","-90.20833400000001","#1a6e6b","#82cec2"
"NWSS_oh_1605_Treatment plant-2024-05-04","2024-05-04","ID:1605","0.0","1","Minimal","Licking","Ohio","40.023509","-82.612544","#1a6e6b","#82cec2"
"NWSS_va_1985_Treatment plant-2024-05-04","2024-05-04","ID:1985","Insufficient Data","0","Insufficient Data","Prince William, Fairfax, Fauquier, Loudoun, Fairfax City, Manassas City, Manassas Park City","Virginia","38.814153","-77.45804","#cccccc","#cccccc"
"NWSS_wa_2040_Treatment plant-2024-05-04","2024-05-04","ID:2040","Insufficient Data","0","Insufficient Data","Franklin","Washington","46.42106","-118.903607","#cccccc","#cccccc"
"WWS_ca_169_Treatment plant-2024-05-04","2024-05-04","ID:169","Insufficient Data","0","Insufficient Data","San Mateo","California","37.395937","-122.425046","#cccccc","#cccccc"
"WWS_co_215_Treatment plant-2024-05-04","2024-05-04","ID:215","Insufficient Data","0","Insufficient Data","Douglas","Colorado","39.481432","-104.835211","#cccccc","#cccccc"
"WWS_hi_360_Treatment plant-2024-05-04","2024-05-04","ID:360-B","8.16","1","Minimal","Honolulu","Hawaii","21.362379","-157.89285900000002","#1a6e6b","#82cec2"
"NWSS_il_468_Treatment plant-2024-05-04","2024-05-04","ID:468","0.0","1","Minimal","Mclean","Illinois","40.526756","-88.86838300000001","#1a6e6b","#82cec2"
"WWS_de_290_Treatment plant-2024-05-04","2024-05-04","ID:290-B","28.26","3","Low","Sussex","Delaware","38.662811000000005","-75.377694","#46a59e","#b1e1bb"
"NWSS_il_490_Treatment plant-2024-05-04","2024-05-04","ID:490","0.0","1","Minimal","Shelby","Illinois","39.450293","-88.800948","#1a6e6b","#82cec2"
"NWSS_oh_1548_Treatment plant-2024-05-04","2024-05-04","ID:1548","Insufficient Data","0","Insufficient Data","Fayette","Ohio","39.533865999999996","-83.44313199999999","#cccccc","#cccccc"
"NWSS_oh_1549_Treatment plant-2024-05-04","2024-05-04","ID:1549","0.0","1","Minimal","Franklin","Ohio","39.978836","-83.011709","#1a6e6b","#82cec2"
"NWSS_il_454_Treatment plant-2024-05-04","2024-05-04","ID:454","0.0","1","Minimal","Lake","Illinois","42.189384","-87.80490499999999","#1a6e6b","#82cec2"
"WWS_ks_555_Treatment plant-2024-05-04","2024-05-04","ID:555","Insufficient Data","0","Insufficient Data","Wyandotte","Kansas","39.095514","-94.78963300000001","#cccccc","#cccccc"
"WWS_nc_1505_Treatment plant-2024-05-04","2024-05-04","ID:1505","0.0","1","Minimal","Wilson","North Carolina","35.729784","-77.914069","#1a6e6b","#82cec2"
"NWSS_wa_2042_Treatment plant-2024-05-04","2024-05-04","ID:2042","Insufficient Data","0","Insufficient Data","Island","Washington","48.307898","-122.623953","#cccccc","#cccccc"
"NWSS_il_497_Treatment plant-2024-05-04","2024-05-04","ID:497","0.0","1","Minimal","Whiteside","Illinois","41.827589","-89.747221","#1a6e6b","#82cec2"
"NWSS_oh_1690_Treatment plant-2024-05-04","2024-05-04","ID:1690","Insufficient Data","0","Insufficient Data","Williams","Ohio","41.563931000000004","-84.584529","#cccccc","#cccccc"
"NWSS_il_498_Treatment plant-2024-05-04","2024-05-04","ID:498","0.0","1","Minimal","Will","Illinois","41.63366","-88.071621","#1a6e6b","#82cec2"
"WWS_ks_552_Treatment plant-2024-05-04","2024-05-04","ID:552","97.78","10","High","Saline","Kansas","38.815673","-97.65311299999999","#6b0057","#2283b9"
"CDC_VERILY_md_730_Treatment plant-2024-05-04","2024-05-04","ID:730","Insufficient Data","0","Insufficient Data","Anne Arundel","Maryland","39.106328","-76.807243","#cccccc","#cccccc"
"WWS_oh_1622_Treatment plant-2024-05-04","2024-05-04","ID:1622-B","15.56","2","Minimal","Mahoning","Ohio","41.096392","-80.634786","#318984","#82cec2"
"CDC_VERILY_ca_97_Treatment plant-2024-05-04","2024-05-04","ID:97-A","Insufficient Data","0","Insufficient Data","Contra Costa","California","37.985141","-122.12753599999999","#cccccc","#cccccc"
"NWSS_co_252_Treatment plant-2024-05-04","2024-05-04","ID:252","Insufficient Data","0","Insufficient Data","Pueblo","Colorado","38.344556999999995","-104.424296","#cccccc","#cccccc"
"NWSS_fl_321_Treatment plant-2024-05-04","2024-05-04","ID:321","Insufficient Data","0","Insufficient Data","Pinellas","Florida","27.811442","-82.728038","#cccccc","#cccccc"
"CDC_VERILY_la_631_Treatment plant-2024-05-04","2024-05-04","ID:631","Insufficient Data","0","Insufficient Data","Lafayette","Louisiana","30.24932","-92.028919","#cccccc","#cccccc"
"WWS_mi_833_Treatment plant-2024-05-04","2024-05-04","ID:833","Insufficient Data","0","Insufficient Data","Isabella","Michigan","43.635414999999995","-84.807511","#cccccc","#cccccc"
"NWSS_oh_1635_Treatment plant-2024-05-04","2024-05-04","ID:1635","Insufficient Data","0","Insufficient Data","Mercer","Ohio","40.467083","-84.6842","#cccccc","#cccccc"
"WWS_me_723_Treatment plant-2024-05-04","2024-05-04","ID:723","Insufficient Data","0","Insufficient Data","York","Maine","43.218194000000004","-70.73853","#cccccc","#cccccc"
"CDC_VERILY_md_729_Treatment plant-2024-05-04","2024-05-04","ID:729","Insufficient Data","0","Insufficient Data","Anne Arundel","Maryland","39.07123","-76.578377","#cccccc","#cccccc"
"WWS_nh_1190_Treatment plant-2024-05-04","2024-05-04","ID:1190","21.43","3","Low","Merrimack","New Hampshire","43.238514","-71.545861","#46a59e","#b1e1bb"
"NWSS_il_421_Before treatment plant-2024-05-04","2024-05-04","ID:421","Insufficient Data","0","Insufficient Data","Cook","Illinois","41.815489","-87.67868","#cccccc","#cccccc"
"WWS_mi_895_Treatment plant-2024-05-04","2024-05-04","ID:895","34.09","4","Low","Macomb","Michigan","42.512366","-82.998653","#5bc2b9","#b1e1bb"
"NWSS_oh_1528_Treatment plant-2024-05-04","2024-05-04","ID:1528","0.0","1","Minimal","Butler","Ohio","39.485347000000004","-84.68095","#1a6e6b","#82cec2"
"WWS_tx_1847_Treatment plant-2024-05-04","2024-05-04","ID:1847","53.66","6","Moderate","Cooke","Texas","33.659098","-97.166375","#d0a0d6","#51b2cd"
"CDC_VERILY_ca_2199_Treatment plant-2024-05-04","2024-05-04","ID:2199","Insufficient Data","0","Insufficient Data","Nevada","California","39.100786","-121.126616","#cccccc","#cccccc"
"NWSS_il_494_Treatment plant-2024-05-04","2024-05-04","ID:494","Insufficient Data","0","Insufficient Data","Vermilion","Illinois","40.153962","-87.66896999999999","#cccccc","#cccccc"
"CDC_VERILY_ct_272_Treatment plant-2024-05-04","2024-05-04","ID:272","Insufficient Data","0","Insufficient Data","Fairfield","Connecticut","41.175005999999996","-73.143934","#cccccc","#cccccc"
"NWSS_fl_302_Treatment plant-2024-05-04","2024-05-04","ID:302","Insufficient Data","0","Insufficient Data","Alachua","Florida","29.67609","-82.347659","#cccccc","#cccccc"
"NWSS_il_414_Before treatment plant-2024-05-04","2024-05-04","ID:414","0.0","1","Minimal","Cook","Illinois","41.820689","-87.68552","#1a6e6b","#82cec2"
"CDC_VERILY_tx_1914_Treatment plant-2024-05-04","2024-05-04","ID:1914","Insufficient Data","0","Insufficient Data","Travis","Texas","30.301228","-97.622591","#cccccc","#cccccc"
"WWS_ca_91_Before treatment plant-2024-05-04","2024-05-04","ID:91","Insufficient Data","0","Insufficient Data","Alameda","California","37.531222","-122.022392","#cccccc","#cccccc"
"NWSS_il_409_Treatment plant-2024-05-04","2024-05-04","ID:409","0.0","1","Minimal","Champaign","Illinois","40.078133","-88.18097300000001","#1a6e6b","#82cec2"
"WWS_il_438_Treatment plant-2024-05-04","2024-05-04","ID:438-B","16.33","2","Minimal","Du Page","Illinois","41.869954","-88.04090500000001","#318984","#82cec2"
"WWS_ne_1164_Treatment plant-2024-05-04","2024-05-04","ID:1164","21.15","3","Low","Lancaster","Nebraska","40.867981","-96.715874","#46a59e","#b1e1bb"
"NWSS_wa_2037_Treatment plant-2024-05-04","2024-05-04","ID:2037","Insufficient Data","0","Insufficient Data","Clark","Washington","45.773389","-122.643378","#cccccc","#cccccc"
"CDC_VERILY_ct_271_Treatment plant-2024-05-04","2024-05-04","ID:271","Insufficient Data","0","Insufficient Data","Fairfield","Connecticut","41.106276","-73.398362","#cccccc","#cccccc"
"NWSS_va_2006_Treatment plant-2024-05-04","2024-05-04","ID:2006-C","Insufficient Data","0","Insufficient Data","Stafford","Virginia","38.339538","-77.445578","#cccccc","#cccccc"
"NWSS_wv_2079_Treatment plant-2024-05-04","2024-05-04","ID:2079","Insufficient Data","0","Insufficient Data","Jefferson","West Virginia","39.324898000000005","-77.862358","#cccccc","#cccccc"
"NWSS_ca_145_Treatment plant-2024-05-04","2024-05-04","ID:145-C","Insufficient Data","0","Insufficient Data","San Diego","California","32.704875","-117.235084","#cccccc","#cccccc"
"CDC_VERILY_ca_162_Treatment plant-2024-05-04","2024-05-04","ID:162","Insufficient Data","0","Insufficient Data","San Luis Obispo","California","35.290281","-120.803697","#cccccc","#cccccc"
"CDC_VERILY_la_629_Treatment plant-2024-05-04","2024-05-04","ID:629","Insufficient Data","0","Insufficient Data","Lafayette","Louisiana","30.230595","-92.05857400000001","#cccccc","#cccccc"
